Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1056,20,0,104.0,11361,0,0,0,0,0,0,0,7,0,0,0,0,6,5,1976,1976,0,0,3,3,1,160.0,0,0,1,2,1,0,0,644,0,0,549,1193,0,1,0,0,1523,0,0,1523,0,1,2,0,3,1,0,7,0,1,4,0,1976.0,0,2,478,0,0,0,0,0,0,0,189,0,0,1,0,0,5,2008,1,1,180000
951,20,0,60.0,7200,0,0,0,0,0,0,0,1,0,0,0,0,5,8,1950,2002,0,0,0,0,0,0.0,0,0,1,1,1,0,0,398,2,149,317,864,0,0,0,0,864,0,0,864,1,0,1,0,3,1,1,5,0,0,0,2,1980.0,2,2,720,0,0,0,194,0,0,0,0,0,0,0,0,0,7,2007,0,0,129000
509,70,1,60.0,9600,0,0,0,0,0,0,0,8,0,0,0,1,7,9,1928,2005,2,0,5,5,0,0.0,0,2,2,1,1,0,4,141,0,0,548,689,0,2,0,0,689,689,0,1378,0,0,2,0,3,1,1,7,0,1,3,2,1928.0,1,2,360,0,0,2,0,0,116,0,0,0,0,0,0,0,10,2008,0,0,161000
38,20,0,74.0,8532,0,0,0,0,0,0,0,1,0,0,0,0,5,6,1954,1990,1,0,6,4,1,650.0,0,0,1,1,1,0,4,1213,0,0,84,1297,0,0,0,0,1297,0,0,1297,0,1,1,0,3,1,0,5,0,1,4,0,1954.0,0,2,498,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2009,0,0,153000
1197,60,0,58.0,14054,0,0,1,0,0,0,0,9,0,0,0,1,7,5,2006,2006,0,0,0,0,0,0.0,1,0,0,2,1,1,2,0,0,0,879,879,0,2,0,0,879,984,0,1863,0,0,2,1,4,1,1,9,0,1,3,3,2006.0,0,3,660,0,0,0,100,17,0,0,0,0,0,0,0,0,11,2006,2,2,219210
656,160,1,21.0,1680,0,0,0,0,0,0,0,10,0,0,1,1,6,5,1971,1971,0,0,1,6,1,381.0,0,0,1,1,1,0,2,0,0,0,525,525,0,1,0,0,525,567,0,1092,0,0,1,1,3,1,0,6,0,0,0,2,1971.0,1,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2010,0,3,88000
1356,80,0,102.0,10192,0,0,1,0,0,0,0,7,0,0,0,4,7,6,1968,1992,0,0,5,5,1,143.0,0,0,1,1,1,0,2,0,0,0,570,570,0,0,0,0,1222,698,0,1920,0,0,3,0,4,1,1,8,0,1,4,0,1968.0,2,2,487,0,0,0,0,98,0,0,0,0,0,3,0,0,9,2006,0,0,170000
30,30,1,60.0,6324,0,0,1,0,0,0,0,11,1,1,0,0,4,6,1927,1950,0,0,5,5,0,0.0,0,0,2,1,1,0,2,0,0,0,520,520,0,3,1,0,520,0,0,520,0,0,1,0,1,1,3,4,0,0,0,2,1920.0,1,1,240,2,0,0,49,0,87,0,0,0,0,0,0,0,5,2008,0,0,68500
700,120,2,59.0,4282,0,1,2,0,0,0,0,12,0,0,2,0,7,5,2004,2004,0,0,5,5,0,0.0,1,0,0,2,1,2,3,16,0,0,1375,1391,0,2,0,0,1391,0,0,1391,0,0,2,0,2,1,1,5,0,0,0,0,2004.0,2,2,530,0,0,0,156,158,0,0,0,0,0,0,0,0,7,2008,0,0,196000
787,50,1,60.0,10800,0,0,0,0,0,0,0,8,2,0,0,2,5,6,1915,1950,0,0,5,5,0,0.0,0,1,0,3,1,0,5,686,0,0,0,686,0,1,0,0,966,686,0,1652,1,0,2,0,4,1,0,7,0,0,0,2,1961.0,1,1,416,0,0,0,0,0,196,0,0,0,0,0,1,1200,6,2010,0,0,139000
865,20,2,72.0,8640,0,0,0,0,0,0,0,12,0,0,0,0,7,5,2007,2008,0,0,0,0,0,0.0,1,0,0,0,1,0,2,0,0,0,1372,1372,0,2,0,0,1372,0,0,1372,0,0,2,0,3,1,1,6,0,0,0,0,2008.0,0,2,529,0,0,0,0,140,0,0,0,0,0,0,0,0,5,2008,2,2,250580
439,30,0,40.0,4280,0,0,0,0,0,0,0,6,0,0,0,0,5,6,1913,2002,0,0,7,7,0,0.0,0,0,0,1,1,0,5,365,0,0,75,440,0,1,1,0,694,0,0,694,0,0,1,0,2,1,1,4,0,1,3,2,1990.0,1,1,352,3,0,1,0,0,34,0,0,0,0,1,0,0,3,2007,0,0,90350
392,60,0,71.0,12209,0,0,1,0,0,2,0,13,0,0,0,1,6,5,2001,2002,0,0,0,0,0,0.0,0,0,0,0,1,0,0,690,0,0,114,804,0,2,0,0,804,1157,0,1961,1,0,2,1,3,1,1,7,0,1,4,3,2001.0,0,2,560,0,0,0,125,192,0,0,0,0,0,0,0,0,6,2009,0,0,215000
692,60,0,104.0,21535,0,0,1,0,0,1,0,14,0,0,0,1,10,6,1994,1995,0,1,1,1,1,1170.0,2,0,0,0,1,3,3,1455,0,0,989,2444,0,2,0,0,2444,1872,0,4316,0,1,3,1,4,1,2,10,0,2,2,0,1994.0,0,3,832,0,0,0,382,50,0,0,0,0,0,0,0,0,1,2007,0,0,755000
894,20,0,69.0,13284,0,0,0,0,0,0,0,15,3,0,0,0,5,5,1954,1954,0,0,6,3,0,0.0,0,0,0,2,1,2,1,1064,0,0,319,1383,0,1,0,0,1383,0,0,1383,1,0,1,0,3,1,0,6,0,1,3,0,1954.0,1,1,354,0,0,0,511,116,0,0,0,0,0,3,0,0,6,2008,0,0,165000
843,80,0,82.0,9020,0,0,0,0,0,0,0,1,0,0,0,4,6,7,1966,1966,0,0,1,1,1,183.0,0,0,1,1,1,3,4,312,3,539,276,1127,0,1,0,0,1165,0,0,1165,1,0,1,1,3,1,0,6,0,0,0,0,1966.0,2,2,490,3,2,0,0,129,0,0,0,0,0,3,0,0,5,2008,0,0,174900
1385,50,0,60.0,9060,0,0,0,0,0,0,0,0,0,0,0,2,6,5,1939,1950,0,0,7,8,0,0.0,0,0,2,1,1,2,4,204,0,0,356,560,0,1,0,0,698,560,0,1258,0,0,1,0,2,1,0,6,0,0,0,2,1939.0,1,1,280,0,0,1,0,0,0,0,0,0,0,1,0,0,10,2009,0,0,105000
792,80,0,69.0,11333,0,0,1,0,0,1,0,13,0,0,0,4,6,5,1976,1976,0,0,1,1,0,0.0,0,0,0,2,1,1,0,539,0,0,490,1029,0,1,0,0,1062,0,0,1062,1,0,1,0,3,1,0,5,0,2,4,0,1976.0,2,2,539,0,0,0,120,0,0,0,0,0,0,0,0,0,5,2007,0,0,146800
1174,50,0,138.0,18030,0,0,1,2,0,0,0,16,0,0,0,2,5,6,1946,1994,0,0,5,5,0,0.0,0,0,1,1,1,0,4,152,2,469,977,1598,0,1,0,0,1636,971,479,3086,0,0,3,0,3,1,2,12,1,1,3,1,1980.0,3,0,0,1,1,0,122,0,0,0,0,0,0,1,0,0,3,2007,0,0,200500
231,20,0,73.0,8760,0,0,0,0,0,0,0,1,0,0,0,0,6,6,1959,1959,1,0,5,5,1,220.0,0,0,1,1,1,0,2,0,0,0,1194,1194,0,1,0,0,1194,0,0,1194,1,0,1,0,3,1,0,6,0,0,0,0,1959.0,2,1,312,0,0,0,0,0,120,0,0,0,0,0,0,0,4,2010,0,0,148000
1041,20,0,88.0,13125,0,0,0,0,0,1,0,15,0,0,0,0,5,4,1957,2000,0,0,6,4,3,67.0,0,0,1,1,1,0,4,168,2,682,284,1134,0,2,0,0,1803,0,0,1803,1,0,2,0,3,1,0,8,1,1,4,0,1957.0,2,2,484,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2006,0,0,155000
1084,20,0,80.0,8800,0,0,0,0,0,0,0,1,0,0,0,0,6,6,1964,1964,1,0,1,1,1,425.0,0,0,1,1,1,0,1,553,0,0,698,1251,0,1,0,0,1251,0,0,1251,1,0,1,0,3,1,0,6,0,2,3,0,1964.0,2,1,461,0,0,0,0,116,0,0,0,0,0,1,1,700,3,2006,0,0,160000
1153,20,0,90.0,14115,0,0,1,0,0,0,0,6,0,0,0,0,6,7,1956,2004,0,0,8,9,0,0.0,0,0,0,1,1,0,0,296,4,547,230,1073,0,2,0,0,1811,0,0,1811,0,0,1,0,2,1,2,6,0,1,3,0,1956.0,0,2,470,0,0,0,0,0,280,0,0,0,0,0,0,0,7,2006,0,1,230000
1091,90,0,60.0,8544,0,0,0,0,0,1,0,1,0,0,3,0,3,4,1950,1950,0,0,4,10,0,0.0,0,0,3,4,2,4,6,0,5,0,0,0,1,3,1,1,1040,0,0,1040,0,0,2,0,2,2,0,6,0,0,0,2,1987.0,1,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2009,0,0,92900
586,20,0,88.0,11443,0,0,0,0,0,0,0,3,0,0,0,0,8,5,2005,2006,1,0,0,0,1,208.0,1,0,0,0,1,3,3,1460,0,0,408,1868,0,2,0,0,2028,0,0,2028,1,0,2,0,2,1,1,7,0,2,3,0,2005.0,2,3,880,0,0,0,326,66,0,0,0,0,0,0,0,0,3,2006,2,2,369900
202,20,0,75.0,10125,0,0,0,0,0,0,0,13,0,0,0,0,6,6,1977,1977,0,0,3,3,0,0.0,0,0,1,1,1,0,0,641,6,279,276,1196,0,1,0,0,1279,0,0,1279,0,1,2,0,3,1,0,6,0,2,1,2,1980.0,1,2,473,0,0,0,238,83,0,0,0,0,0,1,0,0,2,2008,0,0,171500
120,60,0,65.0,8461,0,0,0,0,0,0,0,2,0,0,0,1,6,5,2005,2006,0,0,0,0,0,0.0,1,0,0,2,1,0,2,0,0,0,728,728,0,2,0,0,728,728,0,1456,0,0,2,1,3,1,1,8,0,1,3,0,2005.0,0,2,390,0,0,0,0,24,0,0,0,0,0,0,0,0,7,2006,2,2,163990
95,60,0,69.0,9337,0,0,1,0,0,0,0,2,0,0,0,1,6,5,1997,1997,0,0,0,0,0,0.0,0,1,0,2,1,0,3,648,0,0,176,824,0,2,0,0,905,881,0,1786,1,0,2,1,3,1,1,7,0,0,0,0,1997.0,2,2,684,0,0,0,0,162,0,0,0,0,0,0,0,0,5,2007,0,0,204750
508,20,2,75.0,7862,0,0,1,0,0,0,0,12,0,0,0,0,6,5,2009,2009,0,0,0,0,0,0.0,1,0,0,2,1,0,3,27,0,0,1191,1218,0,2,0,0,1218,0,0,1218,0,0,2,0,2,1,1,4,0,0,0,0,2009.0,0,2,676,0,0,0,0,102,0,0,0,0,0,0,0,0,9,2009,2,2,208300
853,75,0,53.0,7128,0,0,0,0,0,0,0,6,0,0,0,5,7,5,1941,1950,0,0,5,5,0,0.0,0,1,1,1,1,0,4,364,0,0,554,918,0,0,0,0,918,728,0,1646,0,0,2,0,4,1,0,7,0,2,3,2,1941.0,1,1,240,0,0,0,0,0,0,0,126,0,0,1,0,0,8,2007,0,0,164000
324,20,1,49.0,5820,0,0,0,0,0,0,0,8,0,0,0,0,3,8,1955,2005,0,0,0,0,0,0.0,0,1,1,1,1,0,0,256,0,0,906,1162,0,2,0,0,1163,0,0,1163,1,0,1,0,3,1,0,6,0,0,0,0,1955.0,1,1,220,2,0,0,142,98,0,0,0,0,0,0,0,0,7,2006,0,0,126175
1406,120,1,44.0,3842,0,0,1,1,0,0,1,6,0,0,2,0,8,5,2004,2005,1,0,9,11,2,174.0,1,0,0,0,1,3,3,1373,0,0,221,1594,0,2,0,0,1646,0,0,1646,1,1,2,0,2,1,1,5,0,1,3,0,2004.0,0,2,482,0,0,0,128,53,0,0,155,0,0,0,0,0,1,2008,0,0,275000
751,50,1,55.0,8800,0,2,0,0,0,1,0,8,0,0,0,2,4,7,1910,2004,0,0,6,4,0,0.0,0,0,2,1,3,0,2,0,0,0,576,576,0,0,0,0,792,348,0,1140,0,0,1,0,3,1,0,7,2,0,0,1,1980.0,3,0,0,1,1,2,0,160,0,0,0,0,0,0,0,0,6,2010,0,0,96500
61,20,0,63.0,13072,0,0,0,0,0,0,0,17,4,0,0,0,6,5,2004,2004,0,0,0,0,0,0.0,0,0,0,2,1,0,0,941,0,0,217,1158,0,2,0,0,1158,0,0,1158,1,0,1,1,3,1,1,5,0,0,0,2,2006.0,1,2,576,0,0,0,0,50,0,0,0,0,0,0,0,0,5,2006,2,2,158000
729,90,0,85.0,11475,0,0,0,0,0,1,0,1,0,0,3,0,5,5,1958,1958,0,0,0,0,1,95.0,0,0,1,1,1,0,2,0,0,0,1584,1584,0,1,0,0,1776,0,0,1776,1,0,2,0,4,2,0,9,0,0,0,2,1968.0,1,3,888,0,0,0,0,25,0,0,0,0,0,0,0,0,7,2009,1,1,110000
337,20,0,86.0,14157,0,0,1,1,0,1,0,18,0,0,0,0,9,5,2005,2006,1,0,0,0,2,200.0,1,0,0,0,1,3,3,1249,0,0,673,1922,0,2,0,0,1922,0,0,1922,1,0,2,0,3,1,1,8,0,1,3,0,2005.0,0,3,676,0,0,0,178,51,0,0,0,0,0,0,0,0,7,2007,0,0,377426
687,60,2,84.0,10207,0,0,0,0,0,0,0,12,0,0,0,1,7,6,2007,2007,0,0,0,0,0,0.0,1,0,0,2,1,0,2,0,0,0,874,874,0,2,0,0,874,887,0,1761,0,0,3,0,3,1,1,7,0,0,0,0,2007.0,0,2,578,0,0,0,144,105,0,0,0,0,0,0,0,0,8,2007,2,2,227875
1279,60,0,75.0,9473,0,0,0,0,0,0,0,2,0,0,0,1,8,5,2002,2002,0,0,0,0,4,0.0,1,0,0,2,1,0,3,804,0,0,324,1128,0,2,0,0,1128,903,0,2031,1,0,2,1,3,1,1,7,0,1,3,0,2002.0,2,2,577,0,0,0,0,211,0,0,0,0,0,0,0,0,3,2008,0,0,237000
460,50,0,69.0,7015,0,0,1,2,0,1,0,11,0,0,0,2,5,4,1950,1950,0,0,5,5,3,161.0,0,0,1,1,1,0,5,185,0,0,524,709,0,1,0,0,979,224,0,1203,1,0,1,0,3,1,1,5,0,1,4,2,1950.0,1,1,352,0,0,0,0,0,248,0,0,0,0,0,0,0,7,2009,0,0,110000
472,60,0,92.0,11952,0,0,0,0,0,0,0,7,5,0,0,1,7,6,1977,1977,3,2,7,3,0,0.0,0,0,1,2,1,0,2,0,0,0,808,808,0,1,0,0,1161,808,0,1969,0,0,2,1,3,1,0,8,0,1,3,0,1977.0,2,2,534,0,0,0,0,0,0,0,276,0,0,0,0,0,11,2007,0,0,190000
345,160,1,36.0,2592,0,0,0,0,0,0,0,19,0,0,2,1,5,3,1976,1976,0,0,9,11,0,0.0,0,0,1,2,1,0,4,129,2,232,175,536,0,1,0,0,536,576,0,1112,0,0,1,1,3,1,0,4,0,0,0,0,1976.0,1,1,336,0,0,0,182,0,0,0,0,0,0,0,0,0,4,2010,0,0,85000
641,120,0,62.0,12677,0,0,1,0,0,0,0,5,0,0,2,0,8,5,2003,2004,1,0,5,5,1,472.0,2,0,0,0,1,3,3,1218,0,0,300,1518,0,2,0,0,1518,0,0,1518,0,0,1,1,1,1,2,6,0,1,3,0,2003.0,2,2,588,0,0,0,185,140,0,0,0,0,0,0,0,0,4,2008,0,0,274000
461,60,2,75.0,8004,0,0,1,0,0,0,0,12,6,0,0,1,8,5,2009,2009,0,0,0,0,2,110.0,1,0,0,2,1,0,3,544,0,0,288,832,0,2,0,0,832,1103,0,1935,1,0,2,1,3,1,0,8,0,0,0,3,2009.0,0,2,552,0,0,0,0,150,0,0,0,0,0,0,0,0,12,2009,2,2,263435
137,20,0,69.0,10355,0,0,1,0,0,1,0,1,0,0,0,0,5,5,1967,1967,0,0,5,5,1,196.0,0,0,1,1,1,0,1,695,0,0,519,1214,0,1,0,0,1214,0,0,1214,0,0,2,0,3,1,0,5,0,1,1,0,1967.0,2,1,318,0,0,0,0,111,0,0,0,0,0,0,0,0,7,2007,0,0,143000
233,160,1,21.0,1680,0,0,0,0,0,0,0,10,0,0,1,1,6,5,1972,1972,0,0,1,1,1,297.0,0,0,1,1,1,0,2,0,0,0,483,483,0,1,0,0,483,504,0,987,0,0,1,1,2,1,0,5,0,1,5,0,1972.0,1,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2006,0,0,94500
316,60,0,71.0,7795,0,0,1,0,0,0,0,9,0,0,0,1,7,5,2004,2005,0,0,0,0,0,0.0,1,0,0,2,1,0,3,425,0,0,291,716,0,2,0,0,716,716,0,1432,1,0,2,1,3,1,1,6,0,1,3,0,2004.0,0,2,432,0,0,0,100,51,0,0,0,0,0,0,0,0,7,2009,0,0,188500
1329,50,1,60.0,10440,0,2,0,0,0,1,0,8,0,0,0,2,6,7,1920,1950,0,0,4,4,0,0.0,1,1,2,2,1,0,5,493,0,0,1017,1510,2,2,0,0,1584,1208,0,2792,0,0,2,0,5,1,0,8,3,2,4,2,1920.0,1,2,520,2,0,0,0,547,0,0,480,0,0,1,1,1150,6,2008,0,0,256000
1034,20,0,69.0,8125,0,0,0,0,0,0,0,2,0,0,0,0,7,5,2002,2002,0,0,0,0,2,295.0,1,0,0,2,1,0,3,986,0,0,668,1654,0,2,0,0,1654,0,0,1654,1,0,2,0,3,1,1,6,0,0,0,0,2002.0,1,3,900,0,0,0,0,136,0,0,0,0,0,0,0,0,2,2006,0,0,230000
1175,70,0,80.0,16560,0,0,1,0,0,0,0,6,0,0,0,1,6,8,1932,1950,0,0,6,4,0,0.0,0,0,2,2,1,0,4,503,0,0,449,952,0,1,0,0,1170,1175,0,2345,0,0,2,1,4,1,0,9,0,1,3,2,1932.0,1,2,360,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,0,0,239000
147,30,1,51.0,6120,0,0,0,0,0,1,0,11,0,0,0,0,5,7,1931,1993,0,0,6,4,0,0.0,0,0,2,1,1,0,1,209,0,0,506,715,0,1,0,1,875,0,0,875,1,0,1,0,2,1,0,5,0,0,0,2,1931.0,1,1,180,2,0,0,48,0,0,0,0,0,0,0,0,0,11,2009,0,0,105000
1205,20,0,78.0,10140,0,0,0,0,0,0,0,7,0,0,0,0,5,6,1975,1975,0,0,1,1,0,0.0,0,0,1,2,1,0,0,788,0,0,268,1056,0,2,0,0,1074,0,0,1074,1,0,1,1,3,1,0,6,0,0,0,0,1975.0,2,2,495,0,0,0,0,88,0,0,0,0,0,1,0,0,7,2006,0,0,153500
1078,20,0,69.0,15870,0,0,1,0,0,1,0,1,0,0,0,0,5,5,1969,1969,0,0,0,3,0,0.0,0,0,1,1,1,2,1,75,1,791,230,1096,0,2,0,0,1096,0,0,1096,1,0,1,0,3,1,0,6,0,0,0,0,1969.0,0,1,299,0,0,0,240,32,0,0,0,0,0,0,0,0,3,2006,0,1,138800
699,20,0,65.0,8450,0,0,0,0,0,0,0,15,4,0,0,0,5,8,1965,2009,0,0,5,5,0,0.0,0,1,1,1,1,0,3,553,2,117,224,894,0,2,0,0,894,0,0,894,1,0,1,0,3,1,0,5,0,1,3,2,1973.0,1,1,336,0,0,0,416,144,0,0,0,0,0,1,0,0,4,2010,0,0,138500
333,20,0,85.0,10655,0,0,1,0,0,0,0,5,0,0,0,0,8,5,2003,2004,0,0,0,0,1,296.0,1,0,0,2,1,0,3,1124,5,479,1603,3206,0,2,0,0,1629,0,0,1629,1,0,2,0,3,1,1,7,0,1,3,0,2003.0,2,3,880,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2009,0,0,284000
1275,50,0,53.0,5362,0,0,0,0,0,1,0,6,0,0,0,2,5,6,1910,2003,0,0,6,8,0,0.0,0,0,0,1,1,0,2,0,0,0,661,661,0,2,0,0,661,589,0,1250,0,0,2,0,3,1,0,8,0,1,3,2,1985.0,1,2,552,0,0,0,242,0,81,0,0,0,0,0,0,0,11,2007,0,0,139000
551,120,0,53.0,4043,0,0,0,0,0,0,0,20,0,0,2,0,6,6,1977,1977,0,0,3,3,0,0.0,0,0,1,2,1,0,0,559,0,0,510,1069,0,1,0,0,1069,0,0,1069,0,0,2,0,2,1,0,4,0,0,0,0,1977.0,2,2,440,0,0,0,0,55,0,0,200,0,0,0,0,0,10,2008,1,1,140000
428,20,0,77.0,8593,0,0,1,0,0,0,0,1,0,0,0,0,4,6,1957,1957,1,0,5,5,0,0.0,0,0,1,1,1,0,4,288,0,0,619,907,0,2,0,0,907,0,0,907,0,0,1,0,3,1,0,5,0,0,0,2,1964.0,1,1,352,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2008,0,0,109008
798,20,0,57.0,7677,0,0,0,0,0,0,0,1,0,0,0,0,5,5,1953,1953,0,0,0,0,0,0.0,0,0,1,1,1,0,1,570,0,0,203,773,0,0,0,0,773,0,0,773,0,0,1,0,2,1,0,4,0,0,0,0,1953.0,1,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2008,0,1,110000
278,20,0,140.0,19138,0,0,0,0,0,1,0,9,0,0,0,0,4,5,1951,1951,0,0,0,0,0,0.0,0,0,1,1,1,0,5,120,0,0,744,864,0,2,0,0,864,0,0,864,0,0,1,0,2,1,0,4,0,0,0,2,1951.0,1,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2010,0,0,141000
455,90,0,63.0,9297,0,0,0,0,0,0,0,13,0,0,3,0,5,5,1976,1976,0,0,3,3,0,0.0,0,0,1,1,1,0,0,1606,0,0,122,1728,0,1,0,0,1728,0,0,1728,2,0,2,0,4,2,0,8,0,0,0,2,1976.0,1,2,560,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,0,3,188000
